query,old_total_ms,old_compile_ms,old_exec_ms,old_htbuild_ms,new_total_ms,new_compile_ms,new_exec_ms,new_htbuild_ms,diff_ms,speedup
17a,72.280,6287.000,47.000,0.000,602.200,666.000,575.000,182.000,529.920,0.120
17b,58.360,6400.000,34.000,0.000,324.860,578.000,303.000,70.000,266.500,0.180
17c,70.270,6502.000,37.000,0.000,305.820,616.000,288.000,55.000,235.550,0.230
17d,73.040,6042.000,48.000,1.000,301.700,659.000,280.000,57.000,228.660,0.242
17e,172.190,6195.000,134.000,7.000,2551.210,700.000,2520.000,855.000,2379.020,0.067
17f,142.980,6081.000,111.000,13.000,864.260,649.000,845.000,261.000,721.280,0.165
18a,103.380,6109.000,30.000,0.000,151.840,565.000,99.000,0.000,48.460,0.681
18b,9.220,5003.000,3.000,0.000,29.720,470.000,22.000,2.000,20.500,0.310
18c,29.040,5218.000,14.000,0.000,168.300,496.000,156.000,89.000,139.260,0.173
19a,11.360,8754.000,4.000,0.000,41.150,815.000,24.000,0.000,29.790,0.276
