query,old_total_ms,old_compile_ms,old_exec_ms,old_htbuild_ms,new_total_ms,new_compile_ms,new_exec_ms,new_htbuild_ms,diff_ms,speedup
16a,59.840,8874.000,25.000,0.000,156.150,856.000,133.000,5.000,96.310,0.383
16b,172.590,7496.000,138.000,9.000,643.450,2476.000,619.000,212.000,470.860,0.268
16c,78.560,7635.000,42.000,0.000,290.830,2504.000,267.000,47.000,212.270,0.270
16d,80.140,8750.000,45.000,0.000,254.930,792.000,232.000,35.000,174.790,0.314
17a,72.280,6287.000,47.000,0.000,296.750,4084.000,272.000,65.000,224.470,0.244
17b,58.360,6400.000,34.000,0.000,240.140,4286.000,220.000,41.000,181.780,0.243
17c,70.270,6502.000,37.000,0.000,202.150,2506.000,182.000,30.000,131.880,0.348
17d,73.040,6042.000,48.000,1.000,206.620,573.000,186.000,30.000,133.580,0.353
17e,172.190,6195.000,134.000,7.000,1084.290,2377.000,1062.000,235.000,912.100,0.159
17f,142.980,6081.000,111.000,13.000,416.610,2300.000,397.000,83.000,273.630,0.343
18a,103.380,6109.000,30.000,0.000,93.690,2295.000,61.000,3.000,-9.690,1.103
18b,9.220,5003.000,3.000,0.000,35.580,2334.000,24.000,4.000,26.360,0.259
18c,29.040,5218.000,14.000,0.000,111.500,2361.000,99.000,38.000,82.460,0.260
19a,11.360,8754.000,4.000,0.000,40.880,4368.000,24.000,2.000,29.520,0.278
19b,10.300,7623.000,4.000,0.000,22.380,4675.000,8.000,1.000,12.080,0.460
19c,15.080,8412.000,1.000,0.000,77.270,2475.000,61.000,13.000,62.190,0.195
